trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.008947700262069702	stim	0		180	2.673186399973929	3.0029007997363806
1	3.0118484999984503	stim	0		1133	5.6760871997103095	19.001283400226384
2	22.013131900224835	stim	0		595	24.677370599936694	9.999583899974823
3	32.01271580019966	stim	0		282	34.67695449991152	4.998302000109106
4	37.011017800308764	stim	0		1251	39.67525650002062	21.00084049999714
5	58.0118583003059	stim	0		480	60.67609700001776	7.9985525999218225
6	66.01041090022773	stim	0		720	68.67464959993958	11.999640500172973
7	78.0100514004007	stim	0		1199	80.67429010011256	19.9974227999337
8	98.0074742003344	stim	0		300	100.67171290004626	5.002596999984235
9	103.01007120031863	stim	0		720	105.6743099000305	11.999895199667662
10	115.0099663999863	stim	0		480	117.67420509969816	7.999070900026709
0	123.009037300013	stim	0		180	125.67327599972486	3.0000571999698877
11	126.0090944999829	stim	0		1719	128.67333319969475	28.933866700157523
