trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.01060649985447526	stim	0		179	break	break	2.3632344999350607	2.9903191002085805
1	3.0009256000630558	stim	0		198	unambiguous	face	5.353553600143641	3.3257220997475088
2	6.3266476998105645	stim	0		0	unambiguous	house	8.67927569989115	0.3344763000495732
2	6.661123999860138	house	0	space	519	unambiguous	house	9.013751999940723	8.345992499962449
0	15.007116499822587	stim	0		179	break	break	17.359744499903172	3.005814400035888
3	18.012930899858475	stim	0		0	rivalry	house_face	20.36555889993906	2.104491699952632
3	20.117422599811107	house_face	0	space	0	rivalry	house_face	22.470050599891692	2.3364166002720594
3	22.453839200083166	house_face	0	space	0	rivalry	house_face	24.806467200163752	5.692843100056052
3	28.14668230013922	house_face	0	space	715	rivalry	house_face	30.499310300219804	1.8654880998656154
0	30.012170400004834	stim	0		179	break	break	32.36479840008542	2.987601100001484
4	32.99977150000632	stim	0		481	unambiguous	house	35.352399500086904	8.028842200059444
5	41.02861370006576	stim	0		0	unambiguous	face	43.38124170014635	0.31837909994646907
5	41.34699280001223	face	0	space	238	unambiguous	face	43.699620800092816	3.666044400073588
0	45.01303720008582	stim	0		179	break	break	47.365665200166404	2.9882736997678876
6	48.001310899853706	stim	0		0	rivalry	house_face	50.35393889993429	4.994444000069052
6	52.99575489992276	house_face	0	space	0	rivalry	house_face	55.348382900003344	5.359129500109702
6	58.35488440003246	house_face	0	space	718	rivalry	house_face	60.707512400113046	1.6569876000285149
