trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	phase_duration_   0	phase_duration	onset_abs	duration
0	0.013595100026577711	stim	0		179	break	break	3.0		4.112641699612141	2.9889716003090143
1	3.002566700335592	stim	0		0	rivalry	house_face	12.0		7.101613299921155	7.568420599680394
1	10.570987300015986	house_face	0	space	0	rivalry	house_face		12.0	14.670033899601549	1.1329040001146495
1	11.703891300130635	house_face	0	space	0	rivalry	house_face		12.0	15.802937899716198	1.6373544000089169
1	13.341245700139552	house_face	0	space	0	rivalry	house_face		12.0	17.440292299725115	1.2311025001108646
1	14.572348200250417	house_face	0	space	718	rivalry	house_face		12.0	18.67139479983598	0.4330370998941362
0	15.005385300144553	stim	0		180	break	break	3.0		19.104431899730116	3.004240000154823
2	18.009625300299376	stim	0		317	unambiguous	house	5.307677908217042		22.10867189988494	5.306898599956185
3	23.31652390025556	stim	0		0	unambiguous	face	6.692322091782958		27.415570499841124	0.4168457998894155
3	23.733369700144976	face	0	space	401	unambiguous	face		6.692322091782958	27.83241629973054	6.269106000196189
0	30.002475700341165	stim	0		180	break	break	3.0		34.10152229992673	3.0004863999783993
4	33.002962100319564	stim	0		0	rivalry	house_face	12.0		37.10200869990513	1.0669137998484075
4	34.06987590016797	house_face	0	space	0	rivalry	house_face		12.0	38.168922499753535	1.5697523998096585
4	35.63962829997763	house_face	0	space	0	rivalry	house_face		12.0	39.73867489956319	2.133735300041735
4	37.773363600019366	house_face	0	space	0	rivalry	house_face		12.0	41.87241019960493	1.6171451001428068
4	39.39050870016217	house_face	0	space	0	rivalry	house_face		12.0	43.489555299747735	1.652187599800527
4	41.0426962999627	house_face	0	space	0	rivalry	house_face		12.0	45.14174289954826	2.684931500349194
4	43.72762780031189	house_face	0	space	716	rivalry	house_face		12.0	47.826674399897456	1.2711799996905029
0	44.998807800002396	stim	0		180	break	break	3.0		49.09785439958796	3.0028770002536476
5	48.001684800256044	stim	0		250	unambiguous	face	4.17636133911641		52.10073139984161	4.17284999974072
6	52.17453479999676	stim	0		468	unambiguous	house	7.82363866088359		56.273581399582326	7.825001300312579
0	59.99953610030934	stim	0		180	break	break	3.0		64.0985826998949	4.25271310005337
