trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.007823199965059757	stim	0		300	31.96498680021614	5.005643700249493
1	5.013466900214553	stim	0		300	36.97063050046563	4.995816899929196
2	10.009283800143749	stim	0		300	41.96644740039483	5.002970099914819
3	15.012253900058568	stim	0		300	46.969417500309646	4.9991949000395834
4	20.01144880009815	stim	0		300	51.96861240034923	4.999420399777591
5	25.010869199875742	stim	0		300	56.96803280012682	4.99684840021655
6	30.007717600092292	stim	0		300	61.96488120034337	5.003369799815118
7	35.01108739990741	stim	0		300	66.96825100015849	4.9998302003368735
8	40.010917600244284	stim	0		300	71.96808120049536	4.99980239989236
9	45.010720000136644	stim	0		300	76.96788360038772	5.000230200123042
10	50.010950200259686	stim	0		300	81.96811380051076	4.997401699889451
11	55.00835190014914	stim	0		300	86.96551550040022	4.998399599920958
12	60.006751500070095	stim	0		300	91.96391510032117	5.003210899885744
13	65.00996239995584	stim	0		300	96.96712600020692	4.999867500271648
14	70.00982990022749	stim	0		300	101.96699350047857	5.00014270003885
15	75.00997260026634	stim	0		300	106.96713620051742	4.999763299711049
16	80.00973589997739	stim	0		300	111.96689950022846	4.996384900063276
17	85.00612080004066	stim	0		300	116.96328440029174	5.002334900200367
18	90.00845570024103	stim	0		299	121.96561930049211	5.002373300027102
19	95.01082900026813	stim	0		260	126.96799260051921	4.995326499920338
20	100.00615550018847	stim	0		300	131.96331910043955	5.0007985001429915
21	105.00695400033146	stim	0		300	136.96411760058254	5.002542399801314
22	110.00949640013278	stim	0		300	141.96666000038385	4.999440799932927
23	115.0089372000657	stim	0		300	146.96610080031678	4.999764999840409
24	120.00870219990611	stim	0		292	151.9658658001572	4.996880900114775
25	125.00558310002089	stim	0		296	156.96274670027196	4.999480899889022
26	130.0050639999099	stim	0		300	161.962227600161	5.0034334002994
27	135.0084974002093	stim	0		300	166.9656610004604	4.997672199737281
28	140.0061695999466	stim	0		300	171.96333320019767	5.00215549999848
29	145.00832509994507	stim	0		300	176.96548870019615	4.997886100318283
30	150.00621120026335	stim	0		300	181.96337480051443	4.998619599733502
31	155.00483079999685	stim	0		299	186.96199440024793	5.003383500035852
32	160.0082143000327	stim	0		280	191.96537790028378	5.0071670999750495
33	165.01538140000775	stim	0		284	196.97254500025883	5.004670800175518
34	170.02005220018327	stim	0		293	201.97721580043435	4.983884300105274
35	175.00393650028855	stim	0		295	206.96110010053962	5.00096009997651
36	180.00489660026506	stim	0		295	211.96206020051613	4.998720899689943
37	185.003617499955	stim	0		289	216.96078110020608	5.001421300228685
38	190.00503880018368	stim	0		297	221.96220240043476	5.001556999981403
39	195.0065958001651	stim	0		296	226.96375940041617	4.999987400136888
